,start,end,rsp_sex,rsp_age,fcs_staples,fcs_pulses,fcs_dairy,fcs_proteins,fcs_flesh_meat,fcs_organ_meat,fcs_fish,fcs_eggs,fcs_veg,fcs_orange_veg,fcs_green_veg,fcs_fruits,fcs_orange_fruit,fcs_fats,fcs_sugars,fcs_condiments,rcsi_meal_adult,rcsi_meal_size,rcsi_meal_nb,rcsi_no_eat
0,2021-05-13T09:29:28.324-06:00,2021-05-13T09:59:31.341-06:00,1,56,7,7,7,1,1,0,1,1,1,1,1,7,7,7,7,7,0,2,0,0
1,2021-05-13T08:44:14.642-06:00,2021-05-13T09:05:10.406-06:00,2,22,7,7,7,7,1,0,1,7,3,3,1,7,7,7,7,7,0,0,0,0
2,2021-05-13T08:10:59.086-06:00,2021-05-13T08:43:16.923-06:00,1,57,5,5,7,7,2,0,0,7,1,0,1,7,7,7,7,5,0,5,0,0
3,2021-05-13T09:53:37.283-06:00,2021-05-13T10:22:11.248-06:00,1,21,7,7,7,2,0,0,0,2,0,0,0,1,0,7,7,7,5,5,0,0
4,2021-05-13T09:31:16.086-06:00,2021-05-13T09:53:06.037-06:00,1,33,7,7,7,3,2,0,1,3,0,0,0,2,1,7,7,7,0,0,0,0
5,2021-05-13T08:34:52.225-06:00,2021-05-13T09:02:46.666-06:00,1,42,7,2,2,7,0,0,0,7,0,0,0,3,0,7,3,3,0,0,0,0
6,2021-05-13T07:18:00.034-06:00,2021-05-13T08:33:46.201-06:00,2,78,7,7,4,4,1,1,0,4,1,1,1,0,0,7,7,7,0,0,0,0
7,2021-05-13T09:57:52.294-06:00,2021-05-13T10:22:04.632-06:00,1,55,7,7,7,7,2,0,1,7,2,2,2,7,7,7,7,7,0,0,0,0
8,2021-05-13T09:31:53.225-06:00,2021-05-13T10:21:56.895-06:00,1,52,7,7,7,7,1,0,0,7,5,5,2,7,7,7,7,7,0,0,0,0
9,2021-05-13T08:46:31.107-06:00,2021-05-13T10:21:48.389-06:00,1,23,7,7,7,5,4,0,3,5,7,7,7,7,7,7,7,7,0,0,0,0
10,2021-05-13T08:11:35.379-06:00,2021-05-13T10:21:40.624-06:00,2,63,7,7,7,4,0,0,0,4,5,2,3,5,5,7,7,7,0,0,0,0
11,2021-05-13T10:10:13.610-06:00,2021-05-13T10:29:18.252-06:00,1,60,7,7,5,3,2,0,2,3,3,2,3,3,3,7,7,7,0,0,0,0
12,2021-05-13T09:31:39.412-06:00,2021-05-13T10:08:16.200-06:00,2,54,5,4,4,5,3,1,1,5,2,1,2,4,4,7,7,7,0,0,0,0
13,2021-05-13T08:50:22.218-06:00,2021-05-13T09:25:05.460-06:00,1,44,4,2,4,3,2,0,0,3,5,1,3,5,5,6,5,6,1,1,0,0
14,2021-05-13T08:04:26.009-06:00,2021-05-13T08:48:54.796-06:00,1,76,7,7,6,3,2,1,0,3,4,3,3,3,3,7,7,7,0,2,0,0
15,2021-05-05T10:40:06.513-06:00,2021-05-05T11:06:09.190-06:00,2,60,7,7,3,7,4,1,2,7,7,3,2,7,5,7,5,7,0,0,0,0
16,2021-05-05T10:14:51.329-06:00,2021-05-05T10:35:43.703-06:00,1,65,7,7,5,7,3,1,2,7,7,5,2,7,7,7,4,7,0,0,0,0
17,2021-05-05T09:51:28.161-06:00,2021-05-05T10:07:52.873-06:00,1,59,7,7,3,7,2,1,1,7,4,2,2,5,5,7,2,7,0,0,0,0
